SCHCD,Rural_Urban,Medium_of_Instruction,Distance_BRC,Distance_CRC,Yeur_Estd,Pre_Pry_YN,Residential_Sch_YN,Sch_Management,Lowest_Class,Highest_Class,Sch_Category,Pre_Pry_Students,School_Type,Shift_School_YN,No_of_Working_Days,No_of_Acad_Inspection,Residential_Sch_Type,Pre_Pry_Teachers,Visits_by_BRC,Visits_by_CRC,School_Dev_Grant_Recd,School_Dev_Grant_Expnd,TLM_Grant_Recd,TLM_Grant_Expnd,Funds_from_students_Recd,Funds_from_students_Expnd
7010100101,2,4,15,3,2002,2,2,1,6,12,5,0,3,2,0,4,2,0,5,35,7000,7000,19000,19000,0,0
7010100102,2,4,20,1,2006,2,2,1,6,12,5,0,3,2,0,0,2,0,0,5,7000,7000,7500,7500,0,0
7010100103,2,4,20,2,2006,2,2,1,6,10,7,0,3,2,0,0,2,0,0,5,7000,7000,4000,4000,0,0
7010100104,1,4,15,2,2005,2,2,1,6,12,5,0,3,2,0,0,2,0,0,5,7000,7000,7500,7500,0,0
7010100105,2,4,3,3,1977,1,2,1,0,12,3,39,3,2,0,0,2,1,0,5,15000,15000,18500,18500,0,0
7010100106,2,4,20,1,1914,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,19000,19000,0,0
7010100107,2,4,20,1,2001,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,10000,10000,0,0
7010100108,2,19,20,3,1922,1,2,1,0,12,3,52,3,2,0,0,2,2,0,5,12000,12000,29500,29500,0,0
7010100109,2,4,10,0,1965,2,2,1,6,12,5,0,3,2,0,0,2,0,0,5,7000,7000,4500,4500,0,0
7010100110,2,4,18,0,1983,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,16000,16000,0,0
7010100201,2,4,20,5,1964,2,2,1,0,12,3,31,3,2,0,0,2,0,0,5,12000,12000,12000,12000,0,0
7010100202,2,4,20,3,1970,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,13500,13500,0,0
7010100301,2,4,20,5,2007,2,2,1,6,10,7,0,3,2,0,0,2,0,0,5,7000,7000,11000,11000,0,0
7010100302,2,4,10,3,2005,2,2,1,6,12,5,0,3,2,0,0,2,0,0,5,7000,7000,8500,8500,0,0
7010100303,2,4,16,3,2004,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,11000,11000,0,0
7010100304,2,4,14,2,1959,1,2,1,0,12,3,19,3,2,0,0,2,1,0,5,12000,12000,7500,7500,0,0
7010100305,1,4,6,6,1965,1,2,1,0,12,3,40,3,2,0,0,2,1,0,5,12000,12000,16000,16000,0,0
7010100306,2,4,12,5,1960,1,2,1,0,12,3,50,3,2,0,0,2,1,0,5,12000,12000,19000,19000,0,0
7010100307,2,4,16,2,1970,2,2,1,6,12,5,0,3,2,0,0,2,0,0,5,7000,7000,9000,9000,0,0
7010100308,2,4,10,5,1959,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,5500,5500,0,0
7010100309,2,4,10,5,1963,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,16000,16000,0,0
7010100310,1,4,15,5,1959,1,2,1,0,12,3,42,3,2,0,0,2,1,0,5,12000,12000,11500,11500,0,0
7010100311,2,4,16,3,2012,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,0,0,0,0,0,0
7010100401,2,4,26,10,1958,2,2,1,6,12,5,0,3,2,0,0,2,0,0,5,7000,7000,12000,12000,0,0
7010100402,2,4,20,0,1982,1,2,1,0,12,3,29,3,2,0,0,2,1,0,5,12000,12000,19000,19000,0,0
7010100403,1,4,26,4,1970,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,6500,6500,0,0
7010100404,2,4,18,2,1945,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,8500,8500,0,0
7010100405,2,4,4,4,1967,2,2,1,1,12,3,0,3,2,0,0,2,0,0,5,15000,15000,11500,11500,0,0
7010100501,2,4,4,4,2006,2,2,1,6,10,7,0,2,2,0,0,2,0,0,5,7000,7000,5000,5000,0,0
7010100502,2,4,1,1,1986,2,2,1,6,10,7,0,2,2,0,0,2,0,0,5,7000,7000,8500,8500,0,0
7010100503,2,4,1,1,1979,1,2,1,0,12,3,41,3,2,0,0,2,1,0,5,12000,12000,19500,19500,0,0
7010100504,2,4,8,1,1996,2,2,1,6,10,7,0,1,2,0,0,2,0,0,5,7000,7000,8000,8000,0,0
7010100505,2,4,5,0,1982,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,32500,32500,0,0
7010100506,2,4,2,1,1978,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,12000,12000,0,0
7010100701,1,4,15,10,1999,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,10000,10000,0,0
7010100702,1,4,15,10,1999,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,12000,12000,0,0
7010100703,1,4,18,6,1972,2,2,1,6,12,5,0,3,2,0,0,2,0,0,5,7500,7500,9500,9500,0,0
7010101001,2,4,7,1,1984,2,2,1,6,8,4,0,2,2,0,0,5,0,0,5,7000,7000,9000,9000,0,0
7010101002,2,4,4,1,1984,2,2,1,6,8,4,0,1,2,0,0,5,0,0,5,7000,7000,5000,5000,0,0
7010101101,2,4,7,0,1980,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,16000,16000,0,0
7010101201,2,4,5,2,1949,1,2,1,0,12,3,15,3,2,0,0,2,1,0,5,12000,12000,9500,9500,0,0
7010101202,2,4,6,1,1947,1,2,1,0,12,3,45,3,2,0,0,2,1,0,5,12000,12000,20500,20500,0,0
7010101203,2,4,7,2,1965,1,2,1,0,12,3,14,3,2,0,0,2,1,0,5,15000,15000,7500,7500,0,0
7010101204,2,4,6,1,1968,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,15000,15000,0,0
7010101205,2,4,8,1,1948,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7500,7500,9500,9500,0,0
7010101301,2,4,6,1,1976,2,2,1,6,12,5,0,3,2,0,0,2,0,0,5,7000,7000,5500,5500,0,0
7010101401,2,4,6,1,1970,2,2,1,6,10,7,0,1,2,0,0,2,0,0,5,7000,7000,8500,8500,0,0
7010101402,2,4,5,0,1970,2,2,1,6,10,7,0,2,2,0,0,2,0,0,5,7000,7000,11000,11000,0,0
7010101403,2,4,5,0,1983,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,16000,16000,0,0
7010101404,2,4,7,1,1970,2,2,1,6,10,7,0,2,2,0,0,2,0,0,5,7000,7000,8000,8000,0,0
7010101405,2,4,0,1,1966,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,20500,20500,0,0
7010101406,2,4,5,1,1980,1,2,1,0,12,3,80,3,2,0,0,2,1,0,5,12000,12000,29500,29500,0,0
7010101407,2,4,6,0,1966,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,17000,17000,0,0
7010101501,2,4,7,1,1981,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,14500,14500,0,0
7010101601,2,4,6,1,1981,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,27500,27500,0,0
7010101701,2,4,1,1,1985,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,9000,9000,0,0
7010101702,2,4,2,2,1983,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,23000,23000,0,0
7010101703,2,19,0,0,1983,1,2,1,0,12,3,47,3,2,0,0,2,2,0,5,12000,12000,25500,25500,0,0
7010101704,2,4,0,0,1963,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,65242,65242,0,0
7010101801,2,4,5,10,2000,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,23500,23500,0,0
7010101802,2,4,8,6,1998,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,12500,12500,0,0
7010101803,2,4,3,3,2001,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,12000,12000,0,0
7010101804,2,4,10,10,2010,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,8500,8500,0,0
7010101901,2,4,10,1,1986,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7500,7500,31000,31000,0,0
7010101902,2,4,0,3,2011,2,2,1,6,10,7,0,1,2,0,0,2,0,0,5,0,0,0,0,0,0
7010102101,2,4,6,1,1992,1,2,1,0,12,3,41,3,2,0,0,2,1,0,5,12000,12000,19500,19500,0,0
7010102102,2,19,1,4,1995,1,2,1,0,12,3,37,3,2,0,0,2,1,0,5,12000,12000,17000,17000,0,0
7010102103,2,4,5,3,1994,2,2,1,6,12,5,0,3,2,0,0,2,0,0,5,7000,7000,16500,16500,0,0
7010102104,2,19,1,1,1991,2,2,1,1,12,3,0,3,2,0,0,2,0,0,5,12000,12000,25000,25000,0,0
7010102105,2,4,4,2,2011,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,17000,17000,15000,15000,0,0
7010102202,2,19,4,2,1997,2,2,1,6,12,5,0,3,2,0,0,2,0,0,5,7000,7000,11500,11500,0,0
7010102203,2,4,5,1,1989,1,2,1,0,12,3,80,3,2,0,0,2,2,0,5,12000,12000,35500,35500,0,0
7010102204,2,4,10,10,1996,2,2,1,6,10,7,0,1,2,0,0,2,0,0,5,7000,7000,12500,12500,0,0
7010102205,2,4,5,1,1969,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,22000,22000,0,0
7010102206,2,4,5,0,1989,1,2,1,0,12,3,65,3,2,0,0,2,1,0,5,12000,12000,32500,32000,0,0
7010102301,2,4,8,8,1992,2,2,1,6,10,7,0,2,2,0,0,2,0,0,5,7000,7000,11500,11500,0,0
7010102302,2,4,4,6,1986,1,2,1,0,12,3,76,3,2,0,0,2,1,0,5,12000,12000,33000,33000,0,0
7010102303,2,4,6,4,1985,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,15000,15000,0,0
7010102501,2,19,4,2,1992,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,23500,23500,0,0
7010102502,2,4,3,1,1966,1,2,1,0,12,3,78,2,2,0,0,2,1,0,5,12000,12000,28000,28000,0,0
7010102503,2,4,4,2,1966,1,2,1,0,12,3,39,1,2,0,0,2,1,0,5,12000,12000,14500,14500,0,0
7010102504,2,4,4,1,2009,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,11000,11000,0,0
7010102601,2,4,5,0,2007,2,2,1,6,12,5,0,3,2,0,0,2,0,0,5,7000,7000,7500,7500,0,0
7010102602,2,4,12,4,2004,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,10000,10000,5500,5500,0,0
7010102603,2,4,7,8,1952,1,2,1,0,12,3,23,1,2,0,0,2,1,0,5,12000,12000,15000,15000,0,0
7010102701,2,4,14,0,2007,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,14500,14500,0,0
7010102702,2,4,14,0,1993,2,2,1,6,10,7,0,1,2,0,0,2,0,0,5,7000,7000,5000,5000,0,0
7010102703,2,4,12,4,1993,2,2,1,6,10,7,0,3,2,0,0,2,0,0,5,7000,7000,7500,7500,0,0
7010102704,2,4,0,0,1967,1,2,1,0,12,3,39,3,2,0,0,2,1,0,5,15000,15000,14000,14000,0,0
