SCHCD,acyear,Working_Days_Primary,Working_Days_UPrimary,Schoool_Hours_Children_Pri,School_Hours_Children_UPri,School_Hours_Tch_P,School_Hours_Tch_UPR,Approachable_by_All_Weather_Road,CCE_implemented,People_Cumilativere_Record_Maintained,PCR_Shared_with_Parents,Children_from_Weaker_Section_Applied,Children_from_Weaker_Section_Enrolled,Aid_Received,Chilren_Admitted_for_Free_Education,SMC_Constituted,SMC_Members_Male,SMC_Members_Female,SMC_Members_Parents_Male,SMC_Members_PArents_Female,SMC_Members_Local_Authority_Male,SMC_Members_Local_Authority_Female,SMC_Meetings_Held,School_Developmentplan_Prepared,SMC_Children_Record_Maintained,Chld_Enrolled_for_Sp_Training_Current_Year_B,Chld_Enrolled_for_Sp_Training_Current_Year_G,Spl_Training_Provided_Current_Year_B,Spl_Training_Provided_Current_Year_G,Spl_Training_Enrolled_Previous_Year_B,Spl_Training_Enrolled_Previous_Year_G,Spl_training_Provided_Previous_Year_B,Spl_Training_Provided_Previous_Year_G,Spl_Training_Conducted_by,Spl_Training_Place,spl_Training_Type,Tch_or_EVS_for_spl_training,Spl_Training_Material,Textbook_Received,Text_Book_Received_Month,Text_Book_Received_Year,Academic_Session_Start_in,MDM_Status,Kitchenshed_Status,MDM_Source,Days_Meals_Served,Meals_Served_Prev_Yr,Students_Opted_MDM_B,Stdents_Opted_MDM_G,Kitchen_Devaices_Grant,Cook_M,Cook_F,Inspections_by_SO,Inspections_by_CM
7010100202,2012-13,0,220,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,73295,0,503,0,0,0,4,2
7010100305,2012-13,220,220,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,7,2012,4,3,2,2,0,126400,195,437,0,0,0,0,0
7010100307,2012-13,0,220,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,52008,170,158,0,0,0,3,2
7010100310,2012-13,216,216,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,5,2012,4,3,2,2,0,33512,3,193,0,0,0,2,2
7010100504,2012-13,0,199,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,1,0,1,0,1,0,1,0,1,6,1,1,2,1,4,2012,4,3,2,2,0,49672,484,0,0,0,0,4,10
7010101406,2012-13,220,220,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,3,2,2,0,280280,394,880,0,0,0,1,0
7010102102,2012-13,216,220,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,2012,4,3,2,2,0,202,196,573,0,0,0,2,10
7010102302,2012-13,220,220,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,260480,377,807,0,0,0,15,30
7010102601,2012-13,0,221,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,7,2012,4,3,2,2,0,128520,355,275,0,0,0,2,10
7010102702,2012-13,0,220,0,7,0,7,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,8,2012,4,3,2,2,0,287100,1133,0,0,0,0,12,12
7010102704,2012-13,220,220,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,31378,2099,5002,0,0,0,1,4
7010102801,2012-13,0,220,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,7,2012,4,3,2,2,0,29351,106,70,0,0,0,0,80
7010102812,2012-13,0,215,0,6,0,6,1,2,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,140395,653,0,0,0,0,2,6
7010102814,2012-13,211,211,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,5,2012,4,3,2,2,0,47880,228,11,0,0,0,2,2
7010103004,2012-13,0,220,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,7,2012,4,3,2,2,0,27744,84,77,0,0,0,2,1
7010103006,2012-13,0,219,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,251723,0,1193,0,0,0,2,4
7010103302,2012-13,0,250,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,3,2,2,0,0,0,0,0,0,0,0,0
7010103401,2012-13,0,220,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,5,2012,4,3,2,2,0,345225,1725,0,0,0,0,19,52
7010100301,2012-13,0,216,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,123590,452,389,0,0,0,2,40
7010100303,2012-13,0,208,0,6,0,6,1,2,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,121926,745,886,0,0,0,0,34
7010101001,2012-13,0,220,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,125840,0,572,0,0,0,2,5
7010101702,2012-13,0,214,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,5,2012,4,3,2,2,0,234165,0,1165,0,0,0,4,3
7010101704,2012-13,0,220,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,80460,859,0,0,0,0,1,1
7010102104,2012-13,220,237,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,242400,631,569,0,0,0,4,5
7010102206,2012-13,220,220,5,6,5,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,378915,1107,750,0,0,0,2,50
7010102808,2012-13,220,220,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,85800,46,344,0,0,0,5,11
7010102810,2012-13,0,219,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,7,2012,4,3,2,2,0,20003,80,57,0,0,0,0,4
7010103501,2012-13,0,220,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,485980,0,2209,0,0,0,0,2
