SCHCD,Tch_Male,Tch_Female,Tch_NR,HeadTch,GradAbove,TchWithProf,DaysInvld,TchInvld
7010100101,23,27,0,0,49,50,633,48
7010100102,20,4,0,0,24,24,222,24
7010100103,15,4,0,0,16,19,46,4
7010100104,11,9,0,0,20,20,0,0
7010100105,7,77,0,0,76,84,0,0
7010100106,53,0,0,0,51,53,501,25
7010100107,0,23,0,0,21,23,0,0
7010100108,5,90,0,0,95,95,0,0
7010100109,18,19,0,0,36,37,98,18
7010100110,58,2,0,0,60,60,63,21
7010100201,55,5,0,0,57,60,0,0
7010100202,0,38,0,0,38,38,0,0
7010100301,15,21,0,0,36,36,30,14
7010100302,15,12,0,0,27,27,0,0
7010100303,1,23,0,0,23,24,0,0
7010100304,2,25,0,0,27,27,0,0
7010100305,2,34,0,0,34,36,0,0
7010100306,0,64,0,0,62,64,0,0
7010100307,15,13,0,0,28,28,10,1
7010100308,18,1,0,0,17,19,0,0
7010100309,52,0,0,0,52,52,89,3
7010100310,22,10,0,0,32,32,87,18
7010100311,16,5,0,0,21,21,0,0
7010100401,19,16,0,0,34,35,0,0
7010100402,3,55,0,0,54,58,0,0
7010100403,17,0,0,0,16,17,0,0
7010100404,33,1,0,0,34,34,0,0
7010100405,30,23,0,0,52,53,190,47
7010100501,2,19,0,0,20,21,0,0
7010100502,3,28,0,0,30,31,0,0
7010100503,1,75,0,0,66,76,420,2
7010100504,17,0,0,0,17,17,0,0
7010100505,99,1,0,0,99,100,0,0
7010100506,52,0,0,0,50,52,0,0
7010100701,43,0,0,0,42,43,0,0
7010100702,0,38,0,0,38,38,132,9
7010100703,24,10,0,0,32,34,4,1
7010101001,0,20,0,0,20,20,72,1
7010101002,15,0,0,0,15,15,435,10
7010101101,70,6,0,0,76,76,0,0
7010101201,3,29,0,0,30,32,0,0
7010101202,2,54,0,0,55,56,0,0
7010101203,0,43,0,0,41,43,0,0
7010101204,39,2,0,0,39,41,0,0
7010101205,38,1,0,0,37,39,0,0
7010101301,23,19,0,0,42,42,0,0
7010101401,20,1,0,0,21,21,0,0
7010101402,0,29,0,0,28,29,370,8
7010101403,41,0,0,0,39,41,0,0
7010101404,0,25,0,0,24,25,5,1
7010101405,0,68,0,0,68,68,0,0
7010101406,3,66,0,0,63,69,0,0
7010101407,48,0,0,0,48,48,0,0
7010101501,40,1,0,0,40,41,0,0
7010101601,2,72,0,0,74,74,0,0
7010101701,35,5,0,0,38,40,0,0
7010101702,0,72,0,0,71,72,0,0
7010101703,1,73,0,0,73,74,178,28
7010101704,61,5,0,0,66,66,80,5
7010101801,2,37,0,0,38,39,0,0
