SCHCD,School_Name,Block_Name,Cluster_Name,Village_Name,Pincode,District_Name
7010100101,"Narela Sec A-6,Poc-2,Govt.Co-edSSS",DOE,DEFAULT,001-NARELA,110040,NORTH WEST DELHI
7010100102,"Narela, A-10 Pocket-5, RPVV",DOE,DEFAULT,001-NARELA,110040,NORTH WEST DELHI
7010100103,"Narela Sect. B-4, G(Co-ed)M.S.",DOE,DEFAULT,001-NARELA,110040,NORTH WEST DELHI
7010100104,GHOGA G(CO-ED)SSS,DOE,DEFAULT,001-NARELA,110040,NORTH WEST DELHI
7010100105,"Narela, No.2-SKV",DOE,DEFAULT,001-NARELA,110040,NORTH WEST DELHI
7010100106,Narela-GBSSS (Mussadi Lal),DOE,DEFAULT,001-NARELA,110040,NORTH WEST DELHI
7010100107,"Narela, Pocket 5 & 6-GGSS",DOE,DEFAULT,001-NARELA,110040,NORTH WEST DELHI
7010100108,"Narela, No.1-SKV",DOE,DEFAULT,001-NARELA,110040,NORTH WEST DELHI
7010100109,Bhorgarh-G(Co-ed)SSS,DOE,DEFAULT,001-NARELA,110040,NORTH WEST DELHI
7010100110,"Narela, No.2-GBSSS",DOE,DEFAULT,001-NARELA,110040,NORTH WEST DELHI
7010100201,Bankner-SBV,DOE,DEFAULT,002-BANKNER,110040,NORTH WEST DELHI
7010100202,Bankner-GGSSS,DOE,DEFAULT,002-BANKNER,110040,NORTH WEST DELHI
7010100301,"Holambi Kalan,C-Block, G Co-edSS",DOE,DEFAULT,003-ALIPUR,110082,NORTH WEST DELHI
7010100302,"HOLAMBI KALAN,A-BLK G(CO-ED)SS",DOE,DEFAULT,003-ALIPUR,110082,NORTH WEST DELHI
7010100303,"Holambi Kalan,Block B-G(Co-ed)SSS",DOE,DEFAULT,003-ALIPUR,110082,NORTH WEST DELHI
7010100304,Khera Khurd-SKV,DOE,DEFAULT,003-ALIPUR,110082,NORTH WEST DELHI
7010100305,Khera  Kalan-SKV (Baba Nane Nath),DOE,DEFAULT,003-ALIPUR,110082,NORTH WEST DELHI
7010100306,Alipur-SKV,DOE,DEFAULT,003-ALIPUR,110036,NORTH WEST DELHI
7010100307,Holambi Kalan-G(CO-ED)SSS,DOE,DEFAULT,003-ALIPUR,110082,NORTH WEST DELHI
7010100308,Khera Khurd-GBSSS,DOE,DEFAULT,003-ALIPUR,110082,NORTH WEST DELHI
7010100309,Alipur-GBSSS,DOE,DEFAULT,003-ALIPUR,110036,NORTH WEST DELHI
7010100310,Sannoth-SV,DOE,DEFAULT,003-ALIPUR,110040,NORTH WEST DELHI
7010100311,"GBSSS, Holambi Kalan, Block B",DOE,DEFAULT,003-ALIPUR,110082,NORTH WEST DELHI
7010100401,Singhu-G(Co-Ed)SSS,DOE,DEFAULT,004-BAKHTAWARPUR,110040,NORTH WEST DELHI
7010100402,Bakhtawarpur-SKV (BMS),DOE,DEFAULT,004-BAKHTAWARPUR,110036,NORTH WEST DELHI
7010100403,Palla Majra-GBSS,DOE,DEFAULT,004-BAKHTAWARPUR,110036,NORTH WEST DELHI
7010100404,Bakhtawarpur-GBSSS,DOE,DEFAULT,004-BAKHTAWARPUR,110036,NORTH WEST DELHI
7010100405,Tikri Khurd-SV,DOE,DEFAULT,004-BAKHTAWARPUR,110040,NORTH WEST DELHI
7010100501,Bhalswa Dairy G Co-ed.SEC School,DOE,DEFAULT,005-BHALASWA JAHANGIRPURI,110042,NORTH WEST DELHI
7010100502,"Jahangirpuri, Block E-GGSS",DOE,DEFAULT,005-BHALASWA JAHANGIRPURI,110033,NORTH WEST DELHI
7010100503,"Jahangirpuri,Block D-SKV",DOE,DEFAULT,005-BHALASWA JAHANGIRPURI,110033,NORTH WEST DELHI
7010100504,"Jahangirpuri, Block E-GBSS",DOE,DEFAULT,005-BHALASWA JAHANGIRPURI,110033,NORTH WEST DELHI
7010100505,"Jahangirpuri, Block K-GBSSS",DOE,DEFAULT,005-BHALASWA JAHANGIRPURI,110033,NORTH WEST DELHI
7010100506,"Jahangirpuri, Block D-GBSSS",DOE,DEFAULT,005-BHALASWA JAHANGIRPURI,110033,NORTH WEST DELHI
7010100701,Qadipur-GBSS,DOE,DEFAULT,007-BURARI,110036,NORTH WEST DELHI
7010100702,Qadipur-GGSS,DOE,DEFAULT,007-BURARI,110036,NORTH WEST DELHI
7010100703,Mukhmail Pur-G(Co-ed)SSS,DOE,DEFAULT,007-BURARI,110036,NORTH WEST DELHI
7010101001,Dhakka-GGMS,DOE,DEFAULT,010-TIMARPUR,110009,NORTH WEST DELHI
7010101002,Dhakka-GBMS,DOE,DEFAULT,010-TIMARPUR,110009,NORTH WEST DELHI
7010101101,Dr.Mukharjee Nagar-SV,DOE,DEFAULT,011-MUKHERJI NAGAR,110009,NORTH WEST DELHI
7010101201,Vijay Nagar-SV,DOE,DEFAULT,012-G.T.B. NAGAR,110009,NORTH WEST DELHI
7010101202,Guru Teg Bahadur Nagar-SKV,DOE,DEFAULT,012-G.T.B. NAGAR,110009,NORTH WEST DELHI
7010101203,Dhakka-SKV,DOE,DEFAULT,012-G.T.B. NAGAR,110009,NORTH WEST DELHI
7010101204,Dhakka-GBSSS,DOE,DEFAULT,012-G.T.B. NAGAR,110009,NORTH WEST DELHI
7010101205,Guru Teg Bahadur Nagar-GBSSS,DOE,DEFAULT,012-G.T.B. NAGAR,110009,NORTH WEST DELHI
7010101301,Gopal Park-G(Co-ed)SSS,DOE,DEFAULT,013-DHIRPUR,110033,NORTH WEST DELHI
7010101401,Azadpur Village-GBSS,DOE,DEFAULT,014-ADARSH NAGAR,110033,NORTH WEST DELHI
7010101402,Azadpur Village-GGSS,DOE,DEFAULT,014-ADARSH NAGAR,110033,NORTH WEST DELHI
7010101403,"Adarsh Nagar, No.2-GBSSS",DOE,DEFAULT,014-ADARSH NAGAR,110033,NORTH WEST DELHI
7010101404,Majlis Park-GGSS,DOE,DEFAULT,014-ADARSH NAGAR,110033,NORTH WEST DELHI
7010101405,Adarsh Nagar-GGSSS,DOE,DEFAULT,014-ADARSH NAGAR,110033,NORTH WEST DELHI
7010101406,Adarsh Nagar-SKV,DOE,DEFAULT,014-ADARSH NAGAR,110033,NORTH WEST DELHI
7010101407,"Adarsh Nagar, No.1-GBSSS",DOE,DEFAULT,014-ADARSH NAGAR,110033,NORTH WEST DELHI
7010101501,"Jahangirpuri, Block A-GBSSS",DOE,DEFAULT,015-SARAI PEPAL THALLA,110033,NORTH WEST DELHI
7010101601,"Jahangirpuri, Block A-GGSSS",DOE,DEFAULT,016-JAHANGIRPURI - I,110033,NORTH WEST DELHI
7010101701,"Pitampura, Block SU-GBSSS",DOE,DEFAULT,017-SAMAYPUR BADLI,110034,NORTH WEST DELHI
7010101702,Samaipur-GGSSS,DOE,DEFAULT,017-SAMAYPUR BADLI,110042,NORTH WEST DELHI
7010101703,Badli-SKV,DOE,DEFAULT,017-SAMAYPUR BADLI,110042,NORTH WEST DELHI
7010101704,Badli-GBSSS,DOE,DEFAULT,017-SAMAYPUR BADLI,110042,NORTH WEST DELHI
7010101801,Libaspur-GGSS,DOE,DEFAULT,018-LIBASPUR,110042,NORTH WEST DELHI
7010101802,Libaspur-GBSS,DOE,DEFAULT,018-LIBASPUR,110042,NORTH WEST DELHI
7010101803,Siraspur-G(Co-ed)SSS,DOE,DEFAULT,018-LIBASPUR,110042,NORTH WEST DELHI
7010101804,SIRASPUR-GBSSS,DOE,DEFAULT,018-LIBASPUR,110042,NORTH WEST DELHI
7010101901,"Jahangirpuri, Block K-GGSSS",DOE,DEFAULT,019-BHALASWA,110033,NORTH WEST DELHI
7010101902,"GBSS NO-2, JJ COLONY BHALSWA DAIRY",DOE,DEFAULT,019-BHALASWA,110042,NORTH WEST DELHI
7010102101,"Sec16,Rohini-Pkt A-GS(Co-ed)VS",DOE,DEFAULT,021-ROHINI,110089,NORTH WEST DELHI
7010102102,Prashant Vihar-SKV,DOE,DEFAULT,021-ROHINI,110085,NORTH WEST DELHI
7010102103,"Rohini, Sector 11-G(Co-ed)SSS",DOE,DEFAULT,021-ROHINI,110085,NORTH WEST DELHI
7010102104,Sec9Rohini-SV(SaheedCapt.S.Dahiya),DOE,DEFAULT,021-ROHINI,110085,NORTH WEST DELHI
7010102105,"GBSSS, ROHINI, SECTOR 16, POCKET A",DOE,DEFAULT,021-ROHINI,110089,NORTH WEST DELHI
7010102202,"Rohini, Sector 11-RPVV",DOE,DEFAULT,022-RITHALA,110085,NORTH WEST DELHI
7010102203,Rithala-SKV,DOE,DEFAULT,022-RITHALA,110085,NORTH WEST DELHI
7010102204,"Rohini, Avantika, Sector 1-GBSS",DOE,DEFAULT,022-RITHALA,110085,NORTH WEST DELHI
7010102205,Rithala-GBSSS,DOE,DEFAULT,022-RITHALA,110085,NORTH WEST DELHI
7010102206,"Rohini, Sector 6-SV",DOE,DEFAULT,022-RITHALA,110085,NORTH WEST DELHI
7010102301,"Rohini, Avantika, Sector 1-GGSS",DOE,DEFAULT,023-BUDH VIHAR,110085,NORTH WEST DELHI
7010102302,"Rohini, Avantika, Sector 1-SKV",DOE,DEFAULT,023-BUDH VIHAR,110085,NORTH WEST DELHI
7010102303,"Rohini, Avantika, Sector 1-GBSSS",DOE,DEFAULT,023-BUDH VIHAR,110085,NORTH WEST DELHI
7010102501,"RohiniExtn.,Sec-20-G(Co-ed)SSS",DOE,DEFAULT,025-POOTH KALA,110086,NORTH WEST DELHI
7010102502,Pooth Kalan-SKV,DOE,DEFAULT,025-POOTH KALA,110086,NORTH WEST DELHI
7010102503,Pooth Kalan-SBV,DOE,DEFAULT,025-POOTH KALA,110086,NORTH WEST DELHI
7010102504,POOTH KALAN ROHINI EXT SEC 20-GBSSS,DOE,DEFAULT,025-POOTH KALA,110086,NORTH WEST DELHI
7010102601,"Shabad Daulatpur,G Co-ed S School",DOE,DEFAULT,026-SAHIBABAD DAULATPUR,110042,NORTH WEST DELHI
7010102602,Shahabad Dairy-GBSS,DOE,DEFAULT,026-SAHIBABAD DAULATPUR,110042,NORTH WEST DELHI
7010102603,Prahalad Pur-SBV,DOE,DEFAULT,026-SAHIBABAD DAULATPUR,110042,NORTH WEST DELHI
7010102701,"Begampur, GGSS",DOE,DEFAULT,027-BEGUMPUR,110086,NORTH WEST DELHI
7010102702,Begumpur-GBSS,DOE,DEFAULT,027-BEGUMPUR,110086,NORTH WEST DELHI
7010102703,Barwala-G(Co-ed)SS,DOE,DEFAULT,027-BEGUMPUR,110039,NORTH WEST DELHI
7010102704,PoothKhurd-SKV (Raja RamMohan Roy),DOE,DEFAULT,027-BEGUMPUR,110039,NORTH WEST DELHI
7010102705,Pooth Khurd-GBSSS,DOE,DEFAULT,027-BEGUMPUR,110039,NORTH WEST DELHI
7010102801,Punnjab Khore-G(Co-ed)MS,DOE,DEFAULT,028-BAWANA,110081,NORTH WEST DELHI
7010102802,Qutabgarh-SKV,DOE,DEFAULT,028-BAWANA,110039,NORTH WEST DELHI
7010102803,Chandpur Majra-SV,DOE,DEFAULT,028-BAWANA,110081,NORTH WEST DELHI
7010102804,Bawana JJ Cly No.2 Govt. Co-ed SEC,DOE,DEFAULT,028-BAWANA,110039,NORTH WEST DELHI
7010102805,Bawana JJ Cly No.1 Govt. Co-ed SEC,DOE,DEFAULT,028-BAWANA,110039,NORTH WEST DELHI
7010102806,Auchandi-SV,DOE,DEFAULT,028-BAWANA,110039,NORTH WEST DELHI
7010102807,Bawana-SKV (Ravi Shankar),DOE,DEFAULT,028-BAWANA,110039,NORTH WEST DELHI
7010102808,Dariyapur Kalan-SKV (Updesh Kaur),DOE,DEFAULT,028-BAWANA,110039,NORTH WEST DELHI
7010102809,Prahalad Pur-SKV,DOE,DEFAULT,028-BAWANA,110042,NORTH WEST DELHI
7010102810,Harewali-G(Co-ed)SS,DOE,DEFAULT,028-BAWANA,110039,NORTH WEST DELHI
7010102811,Shahabad Dairy-G(Co-ed)SSS,DOE,DEFAULT,028-BAWANA,110042,NORTH WEST DELHI
7010102812,Bawana-GBSSS,DOE,DEFAULT,028-BAWANA,110039,NORTH WEST DELHI
7010102813,Katewara-GBSSS,DOE,DEFAULT,028-BAWANA,110039,NORTH WEST DELHI
7010102814,Nangal Thakran-SBV,DOE,DEFAULT,028-BAWANA,110039,NORTH WEST DELHI
7010102901,Jaunti-SV,DOE,DEFAULT,029-KARALA,110081,NORTH WEST DELHI
7010102902,Karala-GBSSS,DOE,DEFAULT,029-KARALA,110081,NORTH WEST DELHI
7010102903,Karala-SKV,DOE,DEFAULT,029-KARALA,110081,NORTH WEST DELHI
7010102904,Kanjhawala-SKV,DOE,DEFAULT,029-KARALA,110081,NORTH WEST DELHI
7010102905,Ladpur-GBMS,DOE,DEFAULT,029-KARALA,110081,NORTH WEST DELHI
7010103001,"Sawada(Ghevra)H-Blk,S(Co-ed)M.S",DOE,DEFAULT,030-MUNDKA,110081,NORTH WEST DELHI
7010103002,"Sawada(Ghevra)A-Blk,S(Co-ed)S.V",DOE,DEFAULT,030-MUNDKA,110081,NORTH WEST DELHI
7010103003,"Sawada(Ghevra)JJ-B-Blk,S(Co-ed)M.V",DOE,DEFAULT,030-MUNDKA,110081,NORTH WEST DELHI
7010103004,Nizam Pur-G(Co-Ed)SS,DOE,DEFAULT,030-MUNDKA,110081,NORTH WEST DELHI
7010103005,Ghevra-SV,DOE,DEFAULT,030-MUNDKA,110081,NORTH WEST DELHI
