SCHCD,Bldstatus,Clrooms,Clgood,Clmajor,ClMinor,OthGood,OthMajor,OthMinor,Toilet_C,Toiletb,Toilet_g,KITDEVGRANT_YN,MEALSINSCH,CAL_YN,HMRoom_YN,Electric_YN,Bndrywall,library_YN,PGround_YN,Blackboard,BookinLib,Water,MedChk_YN,Ramps_YN,Computer,Tch_Male,Tch_Female,Tch_NR,HeadTch,GradAbove,TchWithProf,DaysInvld,TchInvld
7010103003,3,13,10,3,0,9,1,0,0,5,4,0,3,1,1,1,1,1,1,11,1206,4,2,1,0,16,6,0,0,21,22,0,0
7010103002,3,10,10,0,0,3,4,0,0,5,7,0,3,1,1,1,1,1,1,14,1224,4,2,1,0,20,7,0,0,24,27,0,0
7010103001,3,12,8,4,0,7,0,0,0,4,5,0,3,1,1,1,1,1,1,13,997,4,2,1,0,16,4,0,0,19,20,0,0
7010102905,3,4,4,0,0,4,0,0,0,9,0,0,3,1,1,1,1,1,1,6,1124,4,2,1,10,16,0,0,0,16,16,0,0
7010102904,3,19,19,0,0,0,5,18,0,6,6,0,3,1,1,1,1,1,1,34,14200,3,2,1,0,3,44,0,0,37,47,0,0
7010102903,4,24,10,14,0,11,0,0,0,5,20,0,3,1,1,1,1,1,1,16,5717,3,1,1,3,2,66,0,0,67,68,0,0
7010102902,3,8,8,0,0,10,0,0,0,32,0,0,3,1,1,1,2,1,1,20,1499,3,2,1,0,28,0,0,0,28,28,0,0
7010102901,3,11,11,0,0,11,0,0,0,3,6,0,3,1,1,1,1,1,1,11,8500,4,2,1,10,18,9,0,0,25,27,0,0
7010102814,3,6,0,6,12,0,0,1,0,30,10,0,3,3,1,1,1,1,1,20,15000,3,2,1,0,26,0,0,0,25,26,0,0
7010102813,3,6,6,0,0,9,0,0,0,4,0,0,3,1,1,1,1,1,1,6,7250,3,1,1,10,18,0,0,0,18,18,30,1
7010102812,3,13,0,13,0,10,0,0,0,15,0,0,3,1,1,1,1,1,1,15,6000,3,2,1,0,48,2,0,0,50,50,0,0
7010102811,4,22,22,0,0,23,0,0,0,2,15,0,3,1,1,1,1,1,1,21,3195,3,1,1,20,36,47,0,0,82,83,0,0
7010102810,3,4,4,0,0,10,0,0,0,3,3,0,3,1,1,1,1,1,1,5,2540,4,2,1,10,12,3,0,0,15,15,0,0
7010102809,3,18,18,0,0,10,9,0,0,0,29,0,3,2,1,1,1,1,1,17,6493,3,1,1,0,2,55,0,0,55,57,0,0
7010102808,3,10,10,0,0,10,0,0,0,10,24,0,3,1,1,1,1,1,1,28,3220,3,2,1,2,2,31,0,0,30,33,0,0
7010102807,3,21,15,6,0,30,0,0,0,3,33,0,3,1,1,1,2,1,1,20,4870,3,1,1,4,4,56,0,0,56,60,0,0
7010102806,3,6,0,2,4,23,0,0,0,3,5,0,3,1,1,1,1,1,1,12,3013,3,2,1,10,9,3,0,0,12,12,0,0
7010102805,3,16,16,0,0,3,0,0,0,0,9,0,3,1,1,1,1,1,1,14,529,4,2,1,0,7,13,0,0,20,20,76,15
7010102804,3,14,14,0,0,4,0,0,0,18,0,0,3,1,1,1,1,1,1,15,507,4,2,1,0,38,9,0,0,47,47,80,16
7010102803,3,8,8,0,0,14,0,0,0,8,8,0,3,1,1,1,1,1,1,18,829,4,1,1,10,20,10,0,0,29,30,0,0
7010102802,3,18,16,2,0,16,0,0,0,7,21,0,3,1,1,1,1,1,1,33,8413,3,2,1,11,3,39,0,0,42,42,0,0
7010102801,3,6,6,0,0,0,0,0,0,2,1,0,3,3,1,1,1,1,1,6,1299,4,1,1,3,7,2,0,0,9,9,20,1
7010102705,4,8,8,0,0,9,0,0,0,10,0,0,3,1,1,1,1,1,1,6,8000,3,2,1,3,22,0,0,0,22,22,20,1
7010102704,3,17,17,0,0,17,0,0,0,10,11,0,3,1,1,1,1,1,1,26,4100,3,2,1,11,0,35,0,0,32,35,265,1
7010102703,3,6,6,0,0,11,0,0,0,5,5,0,3,1,1,1,1,1,1,10,1941,3,2,1,13,6,9,0,0,14,15,22,11
7010102702,4,17,17,0,0,0,0,0,0,8,0,0,3,1,1,1,1,1,1,16,2512,4,2,2,10,46,0,0,0,46,46,455,21
7010102701,3,16,16,0,0,0,0,0,0,0,8,0,3,1,1,1,1,1,1,16,1249,4,2,1,2,0,56,0,0,56,56,0,0
7010102603,4,17,17,0,0,21,0,0,0,40,2,0,3,1,1,1,1,1,1,17,16418,3,1,1,0,53,0,0,0,49,53,0,0
7010102602,3,19,19,0,0,38,0,0,0,17,0,0,3,2,1,1,1,2,2,54,0,3,2,2,0,63,0,0,0,63,63,0,0
7010102601,3,16,16,0,0,24,0,0,0,15,15,0,3,1,1,1,1,1,1,2,1049,3,1,1,2,17,19,0,0,36,36,0,0
7010102504,3,20,20,0,0,7,0,0,0,24,24,0,3,2,1,1,2,1,1,16,475,4,2,1,0,41,3,0,0,44,44,61,29
7010102503,3,25,25,0,0,15,0,0,0,16,16,0,3,1,1,1,1,1,1,42,10887,3,1,1,3,58,5,0,0,62,63,0,0
7010104603,3,34,28,0,6,24,0,0,0,12,12,0,3,1,1,1,1,1,2,29,2820,3,1,1,10,34,47,0,0,74,81,0,0
7010104602,3,26,26,0,0,54,0,0,0,12,13,0,3,1,1,1,1,1,1,2,7156,3,1,1,2,1,69,0,0,67,70,335,45
7010104601,3,17,11,0,6,6,0,0,0,12,12,0,3,1,1,1,1,1,1,24,1671,3,1,1,12,18,1,0,0,19,19,30,15
7010104502,4,30,30,0,0,11,0,0,0,15,12,0,3,1,1,1,1,1,1,31,3692,3,1,1,26,34,60,0,0,93,94,0,0
7010104501,3,15,15,0,0,15,0,0,0,9,4,0,3,1,1,1,1,1,1,39,4165,3,1,1,20,32,35,0,0,67,67,0,0
7010104002,3,9,9,0,0,4,0,0,0,3,6,0,3,1,1,1,1,1,1,9,1604,3,1,1,10,16,3,0,0,19,19,0,0
7010104001,4,12,4,8,0,0,0,0,0,6,0,0,3,1,1,1,1,1,2,33,2225,3,1,1,10,23,3,0,0,26,26,0,0
7010103905,3,9,0,9,0,0,0,0,0,2,3,0,3,1,1,1,1,1,1,8,1153,4,1,1,12,9,6,0,0,15,15,0,0
7010103904,3,13,13,0,0,5,0,4,0,6,6,0,3,1,1,1,1,1,2,12,2574,3,1,1,20,18,25,0,0,43,43,0,0
7010103903,4,8,4,4,0,2,0,1,0,7,7,0,3,3,1,1,1,1,1,3,1596,3,1,1,10,22,0,0,0,21,22,0,0
7010103902,3,13,4,9,0,0,3,0,0,7,7,0,3,3,1,1,1,1,1,10,2463,3,1,1,0,0,25,0,0,25,25,0,0
7010103901,3,10,10,0,0,4,0,0,0,3,6,0,3,1,1,1,1,1,1,11,2014,3,1,1,12,0,34,0,0,34,34,36,6
7010103802,3,12,12,0,0,59,0,0,0,9,9,0,3,1,1,1,1,1,1,15,1532,3,2,1,10,20,2,0,0,22,22,0,0
7010103801,3,27,27,0,0,15,0,0,0,9,9,0,3,2,1,1,1,1,1,45,5711,3,1,1,0,1,66,0,0,66,67,315,46
7010103708,3,17,17,0,0,12,0,0,0,6,9,0,3,1,1,1,1,1,1,17,4168,4,1,1,6,42,27,0,0,62,69,3,1
7010103707,3,15,4,0,11,2,4,3,0,12,12,0,3,1,1,1,1,1,1,12,7029,3,1,1,0,56,0,0,0,54,56,0,0
7010103706,3,9,4,5,0,16,0,0,0,6,6,0,3,1,1,1,3,1,1,11,3795,3,1,1,0,34,0,0,0,34,34,0,0
7010103705,3,13,10,3,0,25,0,0,0,3,3,0,3,1,1,1,1,1,1,30,961,3,1,1,20,59,0,0,0,58,59,0,0
7010103704,3,25,5,20,0,10,5,5,0,12,12,0,3,1,1,1,1,1,1,20,5732,3,1,1,3,4,92,0,0,83,96,0,0
7010103703,4,26,0,26,0,20,0,0,0,3,3,0,3,3,1,1,1,1,1,52,5073,3,1,1,6,2,96,0,0,89,98,32,3
7010103702,3,13,10,3,0,11,0,0,0,6,6,0,3,1,1,1,1,1,1,12,3519,4,1,1,10,0,41,0,0,41,41,1355,22
7010103701,3,16,7,9,0,4,0,0,0,6,9,0,3,1,1,1,1,1,1,14,837,4,1,1,14,32,4,0,0,35,36,40,2
7010103501,3,22,22,0,0,8,0,0,0,6,8,0,3,1,1,1,1,1,1,26,1828,3,2,1,0,2,36,0,0,35,38,16,2
7010103403,4,15,9,6,0,16,2,0,0,14,13,0,3,1,1,1,2,1,1,53,4102,3,2,1,20,92,1,0,0,91,93,667,66
7010103402,3,15,0,5,10,19,0,0,0,2,13,0,3,1,1,1,2,1,1,20,5437,3,2,1,0,12,112,0,0,117,124,0,0
7010103401,4,24,24,0,0,9,0,0,0,6,8,0,3,1,1,1,1,1,1,28,3000,3,1,1,0,47,0,0,0,47,47,111,18
7010103302,3,6,6,0,0,0,0,0,0,8,8,0,3,2,1,1,1,1,1,0,94,4,2,1,0,13,2,0,0,15,15,0,0
7010103301,3,24,24,0,0,0,0,0,0,3,3,0,3,2,1,1,1,1,1,0,89,4,2,1,0,0,20,0,0,20,20,0,0
7010103008,3,15,15,0,0,4,0,0,0,3,3,0,3,3,1,1,1,1,1,13,2263,3,2,1,10,39,0,0,0,39,39,0,0
7010103007,3,13,0,13,0,8,0,0,0,5,14,0,3,1,1,1,1,1,1,18,6724,3,2,1,11,24,30,0,0,53,54,55,1
7010103006,3,12,12,0,0,3,0,0,0,0,8,0,3,1,1,1,1,1,1,12,1030,4,2,1,2,0,27,0,0,27,27,0,0
7010103005,3,13,0,13,0,4,0,0,0,3,3,0,3,1,1,1,1,1,2,13,2950,3,2,1,0,13,23,0,0,33,36,0,0
7010103004,3,6,6,0,0,8,0,0,0,3,3,0,3,1,1,1,1,1,1,10,2386,4,2,1,12,11,5,0,0,16,16,0,0
