mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin, car name
18,8,307,130,3504,12,70,1,"chevrolet chevelle malibu"
15,8,350,165,3693,115,70,1,"buick skylark 320"
18,8,318,150,3436,11,70,1,"plymouth satellite"
16,8,304,150,3433,12,70,1,"amc rebel sst"
17,8,302,140,3449,105,70,1,"ford torino"
15,8,429,198,4341,10,70,1,"ford galaxie 500"
14,8,454,220,4354,9,70,1,"chevrolet impala"
14,8,440,215,4312, 85,70,1,"plymouth fury iii"
14,8,455,225,4425,10,70,1,"pontiac catalina"
15,8,390,190,3850, 85,70,1,"amc ambassador dpl"
15,8,383,170,3563,10,70,1,"dodge challenger se"
14,8,340,160,3609, 8,70,1,"plymouth 'cuda 340"
15,8,400,150,3761, 95,70,1,"chevrolet monte carlo"
14,8,455,225,3086,10,70,1,"buick estate wagon (sw)"
24,4,113,950,2372,15,70,3,"toyota corona mark ii"
22,6,198,950,2833,155,70,1,"plymouth duster"
18,6,199,970,2774,155,70,1,"amc hornet"
21,6,200,850,2587,16,70,1,"ford maverick"
27,4,970,880,2130,145,70,3,"datsun pl510"
26,4,970,460,1835,205,70,2,"volkswagen 1131 deluxe sedan"
25,4,110,870,2672,175,70,2,"peugeot 504"
24,4,107,900,2430,145,70,2,"audi 100 ls"
25,4,104,950,2375,175,70,2,"saab 99e"
26,4,121,113,2234,125,70,2,"bmw 2002"
21,6,199,900,2648,15,70,1,"amc gremlin"
10,8,360,215,4615,14,70,1,"ford f250"
10,8,307,200,4376,15,70,1,"chevy c20"
11,8,318,210,4382,135,70,1,"dodge d200"
9, 8,304,193,4732,185,70,1,"hi 1200d"
27,4,970,880,2130,145,71,3,"datsun pl510"
28,4,140,900,2264,155,71,1,"chevrolet vega 2300"
25,4,113,950,2228,14,71,3,"toyota corona"
25,4,980,?, 2046,19,71,1,"ford pinto"
19,6,232,100,2634,13,71,1,"amc gremlin"
16,6,225,105,3439,155,71,1,"plymouth satellite custom"
17,6,250,100,3329,155,71,1,"chevrolet chevelle malibu"
19,6,250,880,3302,155,71,1,"ford torino 500"
18,6,232,100,3288,155,71,1,"amc matador"
14,8,350,165,4209,12,71,1,"chevrolet impala"
14,8,400,175,4464,115,71,1,"pontiac catalina brougham"
14,8,351,153,4154,135,71,1,"ford galaxie 500"
14,8,318,150,4096,13,71,1,"plymouth fury iii"
12,8,383,180,4955,115,71,1,"dodge monaco (sw)"
13,8,400,170,4746,12,71,1,"ford country squire (sw)"
13,8,400,175,5140,12,71,1,"pontiac safari (sw)"
18,6,258,110,2962,135,71,1,"amc hornet sportabout (sw)"
22,4,140,720,2408,19,71,1,"chevrolet vega (sw)"
19,6,250,100,3282,15,71,1,"pontiac firebird"
18,6,250,880,3139,145,71,1,"ford mustang"
23,4,122,860,2220,14,71,1,"mercury capri 2000"
28,4,116,900,2123,14,71,2,"opel 1900"
30,4,790,700,2074,195,71,2,"peugeot 304"
30,4,880,760,2065,145,71,2,"fiat 124b"
31,4,710,650,1773,19,71,3,"toyota corolla 1200"
35,4,720,690,1613,18,71,3,"datsun 1200"
27,4,970,600,1834,19,71,2,"volkswagen model 111"
26,4,910,700,1955,205,71,1,"plymouth cricket"
24,4,113,950,2278,155,72,3,"toyota corona hardtop"
25,4,9750,800,2126,17,72,1,"dodge colt hardtop"
23,4,970,540,2254,235,72,2,"volkswagen type 3"
20,4,140,900,2408,195,72,1,"chevrolet vega"
21,4,122,860,2226,165,72,1,"ford pinto runabout"
13,8,350,165,4274,12,72,1,"chevrolet impala"
14,8,400,175,4385,12,72,1,"pontiac catalina"
15,8,318,150,4135,135,72,1,"plymouth fury iii"
14,8,351,153,4129,13,72,1,"ford galaxie 500"
17,8,304,150,3672,115,72,1,"amc ambassador sst"
11,8,429,208,4633,11,72,1,"mercury marquis"
13,8,350,155,4502,135,72,1,"buick lesabre custom"
12,8,350,160,4456,135,72,1,"oldsmobile delta 88 royale"
13,8,400,190,4422,125,72,1,"chrysler newport royal"
19,3,700,970,2330,135,72,3,"mazda rx2 coupe"
15,8,304,150,3892,125,72,1,"amc matador (sw)"
13,8,307,130,4098,14,72,1,"chevrolet chevelle concours (sw)"
13,8,302,140,4294,16,72,1,"ford gran torino (sw)"
14,8,318,150,4077,14,72,1,"plymouth satellite custom (sw)"
18,4,121,112,2933,145,72,2,"volvo 145e (sw)"
22,4,121,760,2511,18,72,2,"volkswagen 411 (sw)"
21,4,120,870,2979,195,72,2,"peugeot 504 (sw)"
26,4,960,690,2189,18,72,2,"renault 12 (sw)"
22,4,122,860,2395,16,72,1,"ford pinto (sw)"
28,4,970,920,2288,17,72,3,"datsun 510 (sw)"
23,4,120,970,2506,145,72,3,"toyouta corona mark ii (sw)"
28,4,980,800,2164,15,72,1,"dodge colt (sw)"
27,4,970,880,2100,165,72,3,"toyota corolla 1600 (sw)"
13,8,350,175,4100,13,73,1,"buick century 350"
14,8,304,150,3672,115,73,1,"amc matador"
13,8,350,145,3988,13,73,1,"chevrolet malibu"
14,8,302,137,4042,145,73,1,"ford gran torino"
15,8,318,150,3777,125,73,1,"dodge coronet custom"
12,8,429,198,4952,115,73,1,"mercury marquis brougham"
13,8,400,150,4464,12,73,1,"chevrolet caprice classic"
13,8,351,158,4363,13,73,1,"ford ltd"
14,8,318,150,4237,145,73,1,"plymouth fury gran sedan"
13,8,440,215,4735,11,73,1,"chrysler new yorker brougham"
